1,919266573766,435454754,09/06/2020 10:10:10,000010,1,100.50
2,9894354754,080566573766,09/06/2020 05:43:13,000006,6,394
1,9845827434,919849342333,09/06/2020 15:58:24,000007.5,7,905.4
2,844823333,984582327434,09/06/2020 23:20:58,000008,8,4950.40
1,9843433434,984566573766,09/06/2020 07:03:30,000009,9,232
2,0803438454,984566573766,09/06/2020 01:18:04,000010,10,291.30
1,4566573766,989435454754,10/06/2020 10:10:10,000010,1,100.50
2,9894354754,0984566573766,10/06/2020 05:43:13,000006,6,394
1,9845827434,984482342333,10/06/2020 15:58:24,000007.5,7,905.4
2,9844822333,984582327434,10/06/2020 23:20:58,000008,8,4950.40
1,9843433434,980343848454,10/06/2020 07:03:30,000009,9,232
2,9803438454,984343483434,10/06/2020 01:18:04,000010,10,291.30
